question,answer,test
1,A,english
1,E,spanish
2,E,spanish
2,A,english
3,E,spanish
3,C,english
4,C,spanish
4,D,english
5,A,spanish
5,E,english
6,D,
7,B,
8,B,
9,C,
10,A,
11,A,
12,A,
13,D,
14,B,
15,A,
16,D,
17,E,
18,A,
19,B,
20,E,
21,B,
22,A,
23,A,
24,A,
25,D,
26,E,
27,B,
28,A,
29,D,
30,A,
31,D,
32,A,
33,E,
34,B,
35,D,
36,A,
37,C,
38,A,
39,A,
40,C,
41,B,
42,B,
43,E,
44,C,
45,E,
46,B,
47,D,
48,D,
49,B,
50,E,
51,C,
52,E,
53,C,
54,B,
55,A,
56,C,
57,D,
58,B,
59,D,
60,E,
61,E,
62,B,
63,D,
64,E,
65,D,
66,D,
67,A,
68,E,
69,C,
70,D,
71,D,
72,C,
73,C,
74,A,
75,D,
76,E,
77,C,
78,B,
79,C,
80,C,
81,C,
82,B,
83,B,
84,E,
85,D,
86,A,
87,B,
88,C,
89,D,
90,E,
